Date_inv;Troncons_ID;Passage_num;Distance ;Vitesse;Technique;Heure_debut;Heure_fin;Temp_air;Couv_nuage;Vent;Obs;Initiales;Nom_fichier;Commentaires;;Passage_num = pour le drone seulement, ID du passage faunique prévue de 1 à 4 ;;;;;;;;;;;;;
17/07/2025;48;2;2;60;GoPro;08:16;08:33;;;;0;;;;;;;;;;;;;;;;;;
18/07/2025;41;2;0,9;0,7;Pied;05:46;07:10;;;;1;;;Micromammifère (mort). Obs audio LICL.;;;;;;;;;;;;;;;
18/07/2025;41;2;2;60;GoPro;05:21;05:33;15;5;;1;;;Mortalité aperçue, p-ê moufette (odeur);;;;;;;;;;;;;;;
18/07/2025;42;2;1;0,7;Pied;07:28;09:00;;;;7;;;Tortue (p-ê peinte), CHSE, grenouille, mammifère moyen (raton?), patte de mammifère moyen x2, patte de cerf hors tronçon;;;;;;;;;;;;;;;
18/07/2025;42;2;2;60;GoPro;05:23;05:35;;;;0;;;;;;;;;;;;;;;;;;
21/07/2025;14;2;2;50;GoPro;08:13;08:16;;;;0;;;;;;;;;;;;;;;;;;
21/07/2025;14;2;1;1,1;Pied;07:17;08:08;;;;3;;;Queue de rat musqué, micromammifère, lagomorphe.;;;;;;;;;;;;;;;
21/07/2025;39;2;2;60;GoPro;07:04;07:06;;;;0;;;;;;;;;;;;;;;;;;
21/07/2025;39;2;1;1,1;Pied;06:04;06:59;16;0;;1;;;THSI. Beaucoup de sauterelles et insectes écrasés.;;;;;;;;;;;;;;;
22/07/2025;2;2;1;1,3;Pied;05:36;06:23;;;;3;;;Grenouille (LICL?), musaraigne, oiseau. Obs audio LICL.;;;;;;;;;;;;;;;
22/07/2025;2;2;2;50;GoPro;05:23;05:28;14;0;;0;;;;;;;;;;;;;;;;;;
22/07/2025;25;2;0,5;7,2;Drone;06:43;07:14;;;;0;;DJI_202507220648_033_T25vrai;;;;;;;;;;;;;;;;
22/07/2025;25;2;2;60;GoPro;06:33;06:36;;;;0;;;;;;;;;;;;;;;;;;
28/07/2025;40;2;0,5;;Drone;07:17;07:24;;;;0;;DJI_202507280717_036_T40;Manque certains bouts;;;;;;;;;;;;;;;
28/07/2025;40;2;2;;GoPro;06:22;06:27;;;;1;;;;;;;;;;;;;;;;;;
28/07/2025;47;2;0,5;;Drone;06:47;06:55;;;;0;;DJI_202507280647_034_T47 et DJI_202507280647_035;;;;;;;;;;;;;;;;
28/07/2025;47;2;2;;GoPro;06:20;06:28;24;100;;0;;;;;;;;;;;;;;;;;;
28/07/2025;49;2;2;;Pied;07:47;09:00;;;;3;;;THSI, Herpétofaune non ID, grenouille (LICL?), morceaux d'os, Tortue (en morceaux);;;;;;;;;;;;;;;
28/07/2025;49;2;2;;GoPro;06:30;06:33;;;;0;;;;;;;;;;;;;;;;;;
29/07/2025;61;2;2;60;GoPro;07:20;07:24;;;;0;;;;;;;;;;;;;;;;;;
29/07/2025;61;2;0,5;7,2;Drone;06:28;06:50;22;;8,00;0;;DJI_202507290652_038_T61;;;;;;;;;;;;;;;;
29/07/2025;65;2;2;60;GoPro;06:15;06:22;;;;0;;;;;;;;;;;;;;;;;;
29/07/2025;65;2;0,5;7,2;Drone;05:30;06:05;23;0;10,00;0;;DJI_202507290541_037_T65;;;;;;;;;;;;;;;;
30/07/2025;35;2;2;;Pied;06:58;08:50;;;;41;;;2 souris, 1 oiseau (poussin?), 1 oiseau (cardinal), 1 oiseau non id,  1 raton-laveur, 23  grenouilles, 9 LIPI, 2 STOC, 1 couleuvre non-id, 2 non-id, 3 écureuils gris;;;;;;;;;;;;;;;
30/07/2025;35;2;2;60;GoPro;06:51;06:55;;;;0;;;;;;;;;;;;;;;;;;
30/07/2025;36;2;2;;Pied;05:28;06:30;;;;6;;;LIPI, 2 grenouilles, tortue,  non id, écureuil gris;;;;;;;;;;;;;;;
30/07/2025;36;2;2;60;GoPro;05:22;05:25;21;20;;0;;;;;;;;;;;;;;;;;;
04/08/2025;52;2;2;60;GoPro;09:10;09:23;;;;2;;;;;;;;;;;;;;;;;;
